Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
NALA,Mexico,Yusef,GR,Nala it´s a mother searching peace after his son´s death.,https://vimeo.com/687339378
Engulf,Netherlands,Jade,Koekkoek,"‘Engulf’ (Verzwolgen) tells the intimate story of an ill woman who resolutely follows her own path to recovery. However, during a meditative dance session in the Dutch dunes, the woman becomes completely absorbed in her own memories. This leads her to reflect on her choice not to undergo any medical treatments.  'Engulf' is based on the true story of the director's deceased and much-loved grandmother Inge-Marie Morren.",
First Chair,United States,Scott A.,Galeski,How easy t can be to help the lonely....,
THE RADIO,"Venezuela, Bolivarian Republic of",Juan,Lossada,A grocer tries to save the radio that accompanied him for practically his entire life. His pilgrimage through the streets in search of a solution confronts him with a city that has accepted the disappearance of ways of life and the loss of scenes from the past in the memory.  Un tendero intenta salvar la radio que le acompañó durante prácticamente toda su vida. Su peregrinaje por las calles en busca de una solución le enfrenta con una ciudad que ha aceptado la desaparición de de formas de vida y la pérdida de escenas del pasado en la memoria.,https://vimeo.com/515891248
Plastic Ecosystem,United States,Stefie,Gan,"Plastic Ecosystem follows the journey of “new marine life” in the oceans and their behaviors. Millions of tons of plastics litter the oceans and we study their behaviors. The film follows different characters of the oceans, the journey of a school of plastic spoons, the behavior of plastic bottles, the moods of plastic knives. This mockumentary also captures a few surprising behaviors of plastic bags and forks that mimic natural wildlife. Split up into three different lighting settings, this film is not your conventional narrative but a vignette of the rich variety of life in this plastic ecosystem. This film encourages viewers to be more conscious of plastic consumption and also think about the consequences and their effects on the planet. ",
Run,United States,Young Chan,Jeon,"A person starts to run on the road of his life. On the run, He would be happy, sad, and sometimes deadly tired but He can't stop. He keeps running toward  somewhere, but he doesn't know where he is heading. He can nothing but run. ",
Voyage,United Kingdom,Elizabeth,Dale,"A short 2D animated film about a man's journey into the afterlife, led by his spirit guardian.",
[ Mrs. XY ],Greece,Aretaios,Bezanis,,
The Audition,United States,Eli,Berliner,A young pianist makes a startling discovery while painting that changes his relationship to music forever.,
El Caso Abduzcan 2 (The Abduzcan Case 2),Spain,Casa del Cine,Ciudad Real,"Press Kit with a downloadable version (.mp4 H.264 + .srt English & Spanish subtitles):  https://drive.google.com/drive/folders/1e2vzRWdlM_3ctAMQOABQgW5jGiD0LUm4?usp=sharing YouTube Unlisted Link (English & Spanish subtitles): https://youtu.be/Y5aSkjDiOCU  La verdad sobre el caso Abduzcan llega de la mano de un repartidor de hámsters con nariz falsa, una loca con un pato en la cabeza y una señora con gafas de sol. Porque el caso Abduzcan son ellos, eres tú... ¿O es Descartes?  The truth about the Abduzcan Case is revealed by a hamster delivery man with a false nose, a madwoman with a duck on her head and a ma'am with sunglasses. Because the Abduzcan case is them, it's you... Or is it Descartes?",https://youtu.be/kLATx8zAa3s
Necessity of Life,Indonesia,Kevin,Rahardjo,"At midnight, a middle-aged taxi driver must drive his female passenger home but his intentions are unclear.",https://youtu.be/T61_d_s-JPI
Red Thread,Singapore,Craig,McTurk,"A cathartic documentary exploring the aftermath of vulnerability between an adoptive mother and son, painting an emotionally complex portrait of sacrifices and secrets.",
Access All Areas Official Documentary,United Kingdom,Sarah,McCord,"Access All Areas is a short documentary created to educate people on the issues with disabled access in Glasgow's live music industry, the impact it has on those involved and the solutions that could help to improve access in the live music industry.  ",https://youtu.be/MTiQVHJE18w
Thinking Of You,Mexico,Raul,Salgado,A young commuter waits for news of her mother’s surgery. ,
Da Capo,Italy,Paolo,Santamaria,"Giulia is taking piano lessons for an important concert, her debut with Ludwig Van Beethoven’s «Moonlight Sonata» no.14. Her days are punctuated by meticulous exercise, manic routine and a constant pressure, embodied and strengthened by her teacher and mentor, who encourages Giulia to give her best with constancy and dedication, to commit more and more, emphasizing her imperfections, staying faithful with his strict teaching method. Such a fight against the slightest flaw of execution shows on the one hand an extraordinary strength of mind of Giulia, motivated by her own attachment to music, and on the other hand reveals a fragility that leads her to feel bad and to hide, not to live fully. Because Giulia in her heart desires to sing, but she preys on the shyness of her fails to unlock. A path that passes from her discomfort thinking to be evaluated by the Master only “on the surface”, by the tiring psycho-emotional impact, to the need to bring out one’s voice as an authentic mirror of being. She succeeds in this enterprise thanks to that gruff and aggressive teacher, who however manages to read the desire hidden in her.",https://youtu.be/qm81_INqMd4
Delicacies,China,原杰,雷,I used the metaphor of human eating in a restaurant to make a double-line narrative to satirize people who are indulging in the virtual world and willing to accept processing information instead of thinking,
FELIX,Taiwan,FELIX,2022,"When we are thinking about our lives, we may notice that there are filled with delightful and sorrowful memories. However, after snapping out of that, we still live as we did before.",https://youtu.be/kaIy16qNTuQ
Chamallow,France,narrat,marie,"Lucie is a little 8-year-old girl who sleeps peacefully one night in her room. A creature sneaks across the room with only one objective, Lucie's packet of marshmallows. A clumsiness awakens the little girl, who then comes face to face with Malo. This unexpected encounter will push them to discover each other...",
I Wish,Canada,Maria,Belenkova-Buford,"When the wish comes true, magic happens.",
Go north,China,ting,zhou,"In the dirty and disheveled cottage, Xiao Yan prepares all the props and gets ready to use her work as an excuse to record a video to let her grandmother know that she will not be back for a long time, to say goodbye to her. However, toward the end of the recording, her grandmother calls ......  BIOGRAPHICAL SKETCH Xiaoyan (Zhang Xiaoyan) 25 years old Unemployed, introverted, and sensitive. Growing up in the countryside, Xiaoyan was driven by traditional thinking to take three consecutive civil service examinations but failed them all. Without financial resources, unable to return to her hometown and bring honor to their ancestors, the pressure of life eventually makes Xiao Yan have the idea of giving up her life ...... Grandma (Zhang Xiuqing) 70 years old A peasant, bright, gruff, and not very good at expressing his inner emotions. After Xiao Yan grows up and leaves home, Zhang Xiuqing lives with an old turtle in the yard, knowing that she finds out that her time is coming ...... Staff 40 years old  Cemetery worker. The pick-up and drop-off driver at North Hill Cemetery is round and fat. He looks a bit mean but is a warm-hearted person.  STORY OVERVIEW Xiao Yan is ready to commit suicide after failing yet another public exam. But when Xiao Yan records a farewell video that she is ""busy with work"", her grandmother calls and asks Xiao Yan to come and take a special photo of herself. After this photo session, Xiao Yan finally opens herself up to truly observe life. However, after a thoughtless inquiry, Xiao Yan discovers that her grandmother, like herself, is preparing for her eternal goodbye with a well-intentioned lie. In the end, after a mistimed farewell in the cemetery forest, Xiao Yan decides to overcome the odds and live with determination, ushering in a new life with her grandmother's final care.  THIS FILM EXPLORES ·Faced with failure, Xiao Yan doesn't know how to choose the right path ·How a grandmother finds a way to say goodbye to her granddaughter when death is inevitable ·Does a lie protect the one you love  EXPLANATION OF STORY IDEAS It is a story of redemption, built on the lie of love. Xiao Yan is still young, but cowardice in the face of failure makes her choose to run away. Deprived of her spiritual strength, she gives up on herself, and she ""dies"" in internal conflict. At the same time, grandmother's body comes to an end. However, the strength of the heart makes granny embrace the world with gentleness, which in turn influences Xiaoyan. The redemption of the story is not only the renewal of Xiao Yan but also the 'renewal' of the grandmother. All things wither, just go forward with love and the earth will remember all.  BACKGROUND When I was away at school, my family called me and told me that my grandmother had passed away but I didn't have to go home. They considered if I went back home, I would miss my studies. After my initial shock and disbelief, I realized that in this time of technological development and information explosion, ""love"" was the biggest contradiction. They are afraid that their children will be upset, and then children will not be able to catch up with their peers. Most of all, they will cause them trouble. But young people are in a hurry to achieve success, searching for their identity day after day, forgetting their hometowns, forgetting the laughter of their childhood, forgetting the love of those around them, and forgetting the power of love. In this story, I hope to show the persistence and confusion of the traveler who is away from home and the longing and tenderness of the elders for the traveler. I hope to further explore the power of nature and the heart contained in the cycle of birth, old age, sickness, and death.  REFLECTION Compared to my school assignments, this short film about my grandmother was my first formal production, and my first time being a director. In this new endeavor, I also discovered my shortcomings in myself. Due to the impact of the policy, the originally chosen location could not be used and had to be temporarily changed to another city. Although the change of location resulted in shooting scenes that were not up to my expectations, I believe I have gained more experience in the creative process. At the same time, as undergraduate teaching does not involve much hands-on training in filmmaking, I spent a lot of time confirming the length of each shot with the cameraman, which took up a lot of my downtime. In the time to come, I will try to submit my film to the Young Independent Art Film Festival of Strangers. At the same time, I hope to refine this short film after further study and submit it to international film festivals like the GOLDEN SPARROW INTERNATIONAL FILM FESTIVAL to get more people's comments and feedback.",
The Rant Movie,Jordan,Hadi,AlDarwesh,Nowadays most Arabs tend to communicate with each other in English instead of Arabic which is an Ongoing issue that is making the Arabic language slowly fade away,
One Cedar At A Time,Lebanon,Emilio,B.O,"One Cedar At A Time is a short documentary about a group of passionate locals in the town of Ehden, North Lebanon - who have been planting Ehden's mountains with Cedars for the past 30 years.",
Hidden Mother,Netherlands,Staas,Nelis,A business woman in late 19th century England arrives at the estate of her latest client where she discovers a deeply unsettling secret.,
Natural Science ,Lithuania,Justė,Michailinaitė,"Cracking concrete walls of an abandoned film theatre become the canvas for audio-visual exploration of Christopher Fox’s and Ian Duhig “Natural Science”. On one hand it is a conceptual piece, where the only source of light is a projector stacked on the camera. This device both captures and projects the image. On the other hand, it is a sensual and intuitive reflection of music and poetry. As the camera-projector scans the space, the performer emerges in it. The musician, along with the walls, floor and ceiling, becomes part of the canvas too. Eery bunker-like concrete interior becomes a field of blooming flowers or a busy alley in the city, once the images of the camera-projector take over. Contemporary artist Lora Kmieliauskaitė plays the violin and sings mesmerizing yet brilliantly simple poems of Ian Duhig. The words, the images and the music merge into one expressive yet subtle musical film.",
Dunce Cap Boy ,United States,Cecilia,Morris,"Bullied by his peers and a mean spirited teacher, a schoolboy with an imaginative spirit must overcome his desire to fit in when the new girl faces the same treatment.",
The art of being a father,Not Specified,Wager,Films,"The film is about Torkel, a father in his 50s who wants to reconnect with his son Lucas after many years. Torkel visits an art gallery where Lucas works as a gallery assistant to get his attention. When Torkel then happens to destroy one of the works of art just before the art exhibition, he must find a way to save both Lucas job and their relationship…",
Zahreela - The Second Poisoning,India,Dilu,Maliackal,"Everything we perceive now is a result of the Past.  1984 December India’s worst Industrial accident happened in Bhopal. The Union Carbide Plant leaked nearly 40 tonnes of MIC - Methyl Isocyanate, which is a highly poisonous gas and this led to the death of  more than thirty thousand citizens.The gas had tremendous effect in people and resulted in multi systemic issues in survivors. The nightmare didn’t get over; its remenands are still present in the soil, so in the people.  The gas leak could be an accident but something which couldn’t be considered as an accident also occurred. The Union Carbide Factory dumped all their chemical wastes in pits and ponds around the area of the factory and recent research shows about 3.5km radially the land’s groundwater index is affected ie; not fit for drinking. The colonies comprising hundreds of families are still residing in that area.  Why about a slum in Bhopal?   The picture of dirt and a disease stricken population -  the slum, Arif Nagar, Annu Nagar, Bluemoon colony, these slums are located near the factory.  The people here are survivors as well as sufferers of the mismanagement of a Multinational Company.  All they strived for was clean drinking water and had come a long way. There are health issues, some are getting transferred over generations but they are still striving and surviving. Thus their story at least shouldn’t be neglected like the way they were.  ‘We are products of the past, but we don’t have to be prisoners of it..’ ",
Unshot film,Russian Federation,Dasha,Art,Film school student Mira returns to her rural hometown from Moscow to shoot a documentary on her childhood town. But right after disembarking the train it hits her: she is foreign here now. A meeting with her former swim coach Oleg will turn Mira's world upside down by revealing the darkest mystery from her past...,
CRATERI,Italy,Gianmarco,Balbi,"Three characters, through clothes found in a trunk, discover the strength to face their own inner conflicts and, freeing themselves from the fear of appearances, they realize that they're not alone.",
Haiho!,Taiwan,妤宣,陳,"A boy full of longing for pirates, one day accidentally discovered his father's pirate clothes, mistakenly thought that his father was a pirate, and began a series of fantasies...",
Brightside,United States,Anabelle,Corneau,A PSA on spreading the awareness of school shootings.,
Nool,Israel,May,Grosman,"Nool is a young Black Macaque new to life in an Israeli zoo at the height of a military conflict. One night, mesmerized by the orange glow of rockets painting the night sky, the curious monkey slips out of her cage for a better view. On the roof, not understanding the danger of the war missiles, she spots one flying towards her. In one fateful moment her life changes forever. *The film is based on a true event.",https://vimeo.com/725295010
The Speech of Txai Surui,Brazil,Alexandre,Juruena,"The memorable and historic speech by Txai Suruí at the opening of COP-26: UN Conference on Climate Change, in Glasgow, Scotland (2021). Txai Suruí is a Brazilian indigenous activist leader, of the Paiter-Suruí ethnic group. She was the only indigenous person in Latin America and the only Brazilian to speak at COP-26. Her speech was made in front of more than 100 heads of state and echoed across the planet. The film was shown the following year, at COP 27 in Sharm el-Sheikh, Egypt, in a panel in which Txai Surui was participating. Film made in stop motion and 2d animation by the high school students of Escola Parque (Multimedia Project).  * Directed by : Students of the Multimedia Project of Escola Parque (15-16 years old)  * Mentors: Alexandre Juruena and Lilian Sodré  * Soundtrack: So Perewaitxe (Paiter Suruí) / Mawaca - Panaís Bouki.  * Paintings: Students of the Visual Arts Project of Escola Parque (professor: Eduardo Simões).  * Escola Parque - Rio de Janeiro - Brazil 2022",
"Know Plastic, No Plastic ",India,Mradul,Gupta,"We all know plastic is bad. But do we have any idea how bad? Let’s look at some numbers. India discards about 15, 00 tonnes of plastic a day. This is equal to approximately 27 A380 planes-the world’s largest passenger plane. Now imagine this in 1 year. It amounts to 9, 778 A380s. And 97, 780 A380s in 10 years.",
After Hours,Germany,Franz,Rügamer,,
Cage,India,Neil,Gracias,"A son, after years of abandonment from his father, finally confronts him; leading to flow of emotions, expression of thoughts and finally, a long awaited moment.",
Bride ,"Iran, Islamic Republic of",Ant,Company,"A bride and groom start a journey, but then ...",
The Gull,Armenia,Arman,Ayvazyan,This is a story about an artist who was not destined to become an artist. This is a story about a father told by a son. ,
A Beautiful Mistake,Greece,Jill,Somer,An apology letter to the beautiful Mother Earth. ,
The Arm of Love,Sri Lanka,Sakuna,Wicky,"The Arm of Love” is a documentary film that talks about the hidden talents and abilities of children with special needs. Although the society often considers such children incapable of doing something on their own, this documentary shows that they too are talented kids just like other children. The story, which revolves around three children with special needs, who are talented in dancing, singing and drawing, portrays the love and sacrifices of the parents of such children. The sacrifices made by those parents and the resultant growth occurred in the three children with special needs in advancing their talents take centre stage of the film. This documentary is a tribute to the parents of children with special needs who struggle to succeed in life after recognizing their talents, and the parents of those children in society whose talents carry them forward.",
FAMOUS BY ALL MEAN,Côte d'Ivoire,ON MOVE,MAGAZINE,"The rich, beautiful and famous influencer JOYCE SEHI is at the top of her game. Except that a terrible secret jealously kept comes to disrupt her life.",https://vimeo.com/manage/videos/759344060
The Dreams In Which You Die ,United Kingdom,cleo,leather,"‘The Dreams In Which You Die’, in short, is a film about conquering darkness. It is about the conscious decision to reclaim control after refusing to exist in a state of anxiety and trauma. The film examines the light and dark of the decisions we take because of the perspective we position, from subconscious stirrings of maleficent imposition to conscious positive outcomes. The narrative follows our protagonists healing journey, enabled through the soundtrack, 'You Would Have To Lose Your Mind' by The Barr Brothers. The critical message of the film is that our minds are stronger than any physicality. ",https://vimeo.com/790864161
The depth of our hearts ,Brazil,Letícia,Leão,"Joana, a curious 7-year-old girl, wants to find out how she came into the world from two bellies.",
 To the Amaros of the World,Brazil,Bruno,Cabral Gassen,"In a confessing and poetic way, the director Bruno Cabral Gassen exposes his vision about his relationship with his father, Amaro, through the records he made in photos and VHS tapes during his son's childhood, and proposes a reflection on the ephemerality of life, the importance of memory and the art of documenting.",
Autonomy,United Kingdom,Owen ,Saddington,An experimental film about people being controlled by devices and setting themselves free,
COVID/CHOIR,Canada,Matthew,Shoup,How do you teach choir when you aren't allowed to sing? This is the question that faced Winnipeg choir teacher Stacey Nattrass Brown in the midst of the Covid-19 Pandemic.,
It's Okay to be Different (English version),Indonesia,Amelinda,Marcella,A disabled woman with a traumatic past lingering at the back of her head finds it difficult to live a normal life. ,
Marzi,India,Amal,Zen,"Abhay is not allowed to eat ice cream. He must not fall sick. He must study hard. He must only walk home from school escorted by older boys from his colony. One afternoon, on the journey back, they take a new detour that presents Abhay with a choice. Will he submit to his conditioning and conscience, or take the opportunity to taste freedom?  Marzi explores the themes of childhood longing, freedom and the importance of children being allowed to learn through their own experiences. ",https://vimeo.com/735343151
"What can we do for the ""Blue""",China,Chengcheng,Zhao,"The ocean is the cradle of life, the ocean is a blue treasure. There are many fresh water resources, chemical resources, biological resources and so on in the ocean. It raises us without asking for anything in return, it gives to us without asking for anything, it is so beautiful and selfless. However, with the development of industry and fishery in recent years, the Marine environment has been continuously destroyed and the living environment of organisms has been continuously worsened. This film follows divers as they use their underwater perspective to learn more about the sea and raise awareness of Marine conservation.",https://youtu.be/rAHIt566CHc
Lavender,Belgium,Hannes,Van de Mosselaer,"“If people think that for some people being locked up in prison is similar to staying in a hotel, shouldn't we try to improve the world outside of prison?”  Agnes Steenssens approaches prisoners in Belgium and the United States, she highlights what is left behind the committed offenses in the context of restorative justice.  ",
Honeybee,India,Tanvi,Avlur,"The Gulbarg Society massacre took place on 28 February 2002, during the 2002 Gujarat Riots.  I decided, post-research, to make a film about the Gujarat Riots since I was living and studying in Ahmedabad. This was when I visited Gulbarg Society and decided to narrow down my topic to the massacre that haunts this place to date.  I used just a SONY handycam and my phone mic to make this film and worked on a very tight budget. The treatment however aided me in translating the chaos and helplessness that I felt making this film.  Children guide me through this film innocently taking me on an emotional journey while I document what is left of the aftermath.  They sing, joke around, and make comments about what they understand. I let the children talk to me. We had long conversations where I mostly listened.   Now, you’re part of the conversation… ",
Before You Go,"Korea, Republic of",lee,jamie,Two childhood friends spend their last day together before one of them goes away.,https://www.youtube.com/watch?v=pGHF4CM02lE
Front Line Brazil,Brazil,Elder,Fraga,"""FRONTLINE BRAZIL"". The film team followed the health professionals during the peak of the pandemic in Brazil in the first wave, the day to day in three Covid-19 ICUs in the city of Santos - SP, between the months of March and November 2020. The idea of the documentary is to give voice to the health professionals who are fighting to save lives in the midst of the pandemic. Health professionals from all sectors were heard, with moving accounts of the daily struggle with patients in serious condition. The film also registered the beginning of the pandemic in China and the countries affected by Covid-19 in Asia and Europe through the lens of international correspondent Marcelo Espíndola, passing through São Paulo, Santos, Manaus, and Pará. Reports from doctors in places where the health system collapsed, always trying to understand the pandemic from the medical point of view, such as Dr. Roberto Zeballos (Immunologist), Dr. Gustavo Pasquarelli (Infectologist), and 23 other health professionals. The film portrays the moment when the world and Brazil stopped, the lives of doctors, nurses, and psychologists who are in the front line, and who, besides the physical and emotional wear, were isolated and deprived of daily contact with their families.   Translated with www.DeepL.com/Translator (free version)",https://www.youtube.com/watch?v=6ORj18Z4afo
Sandbar,China,Zhang,wenzheng,,
"Sonia, mother of the dead",Colombia,Steven,Castillo,"Sonia decided to give her life to the dead and lives among graves in her own cemetery. As she is on her way to perform a funeral, she reflects on her relationship with death and about dignity upon death.",https://youtu.be/ff-L6lJ92ns
Walter's Room ,Canada,Austin ,Lindsay,"Living in a nursing home, Walter longs to reconnect with his family.",
Call Me If You Miss Me.,Canada,Pablo,Balboa,"Walter Barish, a hopeful yet melancholic 25 year old office worker, is trying to get in contact with a lost relationship, Amelie Flowers. To face his feelings, he needs to make a crucial phone call however he is trapped in his own mind where his subconscious has turned against him.",
Twinkle,Canada,Moonshine,Studios,"A young lion, fascinated by space, struggles to keep his glow-in-the-dark stars lit against the rising sun and embarks on a journey into his imagination. ",
To the Moon and Back,Japan,二叔,李,"Since I was born, the moon has circled the Earth 9,125 times. We all grew older with each orbit, but the moon never seems to age. A story about my grandma, her death, and my childhood.",
Parenthesis,Spain,Carlos , R. Haro,"In “El Paréntesis” the author collects the family archive recorded for more than two years to dedicate a filmed letter to Rafaela Prieto, who taught him that a short subway ride can be more than one may think… Short film awarded with the first prize in the XIII edition of the Subtravelling Barcelona-Seoul Film Festival.",
The Last Shift,United States,Inglewood,High School,"Two high school students have one final, crazy shift at their workplace corner store before leaving for college. ",
Head in the Clouds,United States,Kaylee,Tan,A quirky student who daydreams with her head high in the clouds must creatively elude her strict math teacher to remain there.,
En Tus Sueños- In Your Dreams,Spain,Katrina,Warren,"Centered around my grandmothers small town in Spain, this paper cut stop motion animation follows a young girl and her loyal cat as she dreams a magical dream. ",
Earth Healer,Nigeria,Kedari,Films,"Itanna was meant to save the world with the help of an unwilling and naive warrior, Kumapayi, only to discover in themselves capacity to conquer their enemies beyond their knowledge and needing to face the moral pressure of youthful urges.",
Jump,India,Festival ,Submissions,"Abhay, a young overweight boy scout decides to climb a mango tree after he spots a kite  stuck on one of its branch. Unaware of the risk involved in the process, he accidentally  kicks the ladder which was his only means of getting down from the tree. Handling the  situation with his scout training, he somehow succeeds in pulling out the kite from the tree  but then faces the real battle of overcoming his fear of height, as the only way left for him  now to come back down from the tree is by making the jump. Abhay finally decides to fight  the odds stacked against him and ends up gaining an experience which will be cherished  by him for a lifetime.",
Vaani (Voice),India,Namya,Chadha,"The film is inspired by Vaani School and Research Centre, Meerut, which is a school for deaf children. It's about the dreams and aspirations of children with disabilities and the role of 'special' school teachers as interlocutors in helping them pursue their dreams. It was challenging for the teachers to build trust in communicating at first. Gradually, the children began to share their problems with the teachers. In the film, the teachers describe how they adapt to their students' world and learn about their hearing disability and level to understand their language. The children share their problems they encounter in the outside world. The film also highlights the speech therapy which children must necessarily take. The speech therapist demonstrates different categories and hearing levels concerning interpreting language. These motivated students share their favorite food, hobbies, likes and dislikes and what they want to be when they grow up. The teachers feel that sign language is essential and, if not, it is important to use audio/visual aid to improve the learning approach. Beyond education, they believe these students have an eye for creativity and can do well in the future. They encourage  parents to let their children come to school. The staff and teachers of Vaani School talk about their initiatives for the better future of their students and how they strive to deliver the best education for their children's success. I chose a feel-good, motivating and inspiring genre for my film. I wanted to hear the story of their relationship with the students and their history. These teachers take up the role of guardians for the children. At the same time, interestingly so, the film reveals how the teachers resort to ableist terminology and language while working with deaf children. The school is attempting to create an accessible environment for the children by installing visual aids for students and teachers to teach and learn. In a society where parents are unaware of deaf and hearing impairment, these teachers encourage parents to let their children come to school.  ",
SOLOFAN,Morocco,Mohamed,Amalaab,SOLOFAN,https://vimeo.com/797670458
Desde Casa,Panama,Joab,Huc,"Ireul Thyme y Jorge Montenegro, jóvenes afrodescendientes con pasiones artísticas distintas, nacidos y crecidos en una cuidad de bajos recursos y problemas sociales, llena de estigmas y prejuicios, principal causante que los jóvenes de esta ciudad opten por delinquir.",
Proud,United States,Mya-Breyana,Morton,"A quiet and obedient boy tries to please his strict and opinionated father as best he can. Now as a young man, he realizes that his sexuality places his relationship with his father in jeopardy. This is a heartwarming short narrative film about a man writing a letter to his father about coming out as queer. This film has been recognized and awarded in several film festivals in the United States and on an International scale.  ",
Cow ,Hong Kong,Wendy,Kong,"A farmer boy is love-struck by a mysterious girl riding a cow.  Consumed by his infatuation of her, he blindly chases after her.  After a series of challenges, he finally catches up to her, and his fantasy comes true.   ",
Toccata and Fugue,"Venezuela, Bolivarian Republic of",Gabriela,Montilla,"Luis, a dancer and classical ballet teacher, experiences a connection between himself and dance despite his old age.",
Como una Mosca en Leche (Like a Fly in Milk),United States,nicholas,leboeuf,A person finds themselves trapped in conformity with a yearn to break out when they are all of a sudden confronted by a fly from the outside.,
Takhleeqar,Pakistan,Wajahat,Akhtar,"A  portrait documentary of Syed Amir Bukhari who works as an artist and school teacher and also belongs to a needy family. Amir is passionate about whatever work he does wheather it is wall chalking, painting, sketching, calligraphy, or teaching he does at government school of Nawan Baigraj or the home tution he gives. This documentary shades light on his life long struggle despite him being so young his struggle is not less than of any old experienced person.",
SIRIJOTHA,India,subbuu,palakurthi,The story is all about a fight for the existence of a mother tongue by an old aged school teacher and a student who lands in India in search of his Teacher.,https://www.youtube.com/watch?v=MJwqTaQOEdI&t=8s
Timbila (english version),Mozambique,Andreas,Scheibenreif,"Nowadays there are young individual Timbila players who integrate the Timbila into popular music styles, creating a fusion between traditional and contemporary instruments. On one hand, this arouses curiosity about the origin and history of the instrument, on the other hand, it raises the question of where the original practice of timbila went and whether traditional timbila groups still exist today. Deep in the district of Zavala there are still masters with their orchestras who pass the art of making, playing and dancing Timbila from generation to generation, who practice this art according to rules that must be strictly followed, to continue with their tradition. Todays orchestras are challanged by a lack of resources, they hardly earn any money, which makes young people move to cities in search of work, but still, some people have the strong will and the necessary courage to continue in the orchestras of Timbila and preserve this culture for the future.",
At The End Of Summer,"Korea, Republic of",lee,jamie,"Two young adults stumble upon an old-time capsule, and they set off on an adventure to uncover its secrets.",
"As Father, As Son",Japan,家綺,趙,"One summer, film director Susumu Kobayashi (35) reunites with his elderly father Hideo (62), who lives alone in the countryside of Gunma prefecture. The story follows the father and son as they attempt to connect and restore a relationship rusted over.",
Familiar Stranger,Singapore,Syafiqah,rahsid,"As Vietnamese growing up in Slavic communities, Lien and Trung struggled to navigate their identity and culture. Through their childhood and teenage years, they grappled with the complex interplay of their multiple identities and the pressures to conform to the various societal norms. Returning to Vietnam only added to their confusion as they tried to reconcile their sense of identity with their heritage.  With the support of friends and partners who faced similar struggles, Lien and Trung embark on a journey of self-discovery and acceptance. ",
WHAT ABOUT COOKING ? ,France,FRANCOIS,HEISER,"Luca goes to the empty appartment of his grandmother, and he remembers the lemon pie recipe they used to cook together.",
Home,India,FILMOVERT,MOVING PICTURES,"The protagonist of this story finds himself on a deserted beach, which triggers a longing for his hometown and the life he left behind. He reflects on the simple pleasures of his past and the impermanence of everything. Despite feeling lost and alone, he holds onto hope for a better future and continues to search for a sense of home.",https://youtu.be/WbuWwxQycsk
Time Capsule,Czech Republic,Rose,Knopper,"As Kamila discovers her retired-mail-carrier grandmother showing early signs of dementia, she must create a time capsule of memories for her before it's too late. ",
Red Thread,Poland,Joanna,Płatek,"A story about two greyhound dogs and a red thread, which, according to Chinese legend, is to connect people with an invisible bond. However, how permanent is the alleged thread, how eternal its bonds are, and whether it is only an inner desire to follow what is written for us?",
"Becoming, Being Mom",United States,Kathryn,Roberts,"Four women share the joys and challenges they’ve experienced with pregnancy, birth and raising children, as they contemplate their identities both in and outside of motherhood. Through elevating these perspectives, “Becoming, Being Mom” seeks to initiate and destigmatize conversations surrounding motherhood, while also empowering all generations of women to feel comfortable in sharing their own stories.",
Lola,Mexico,Astrid,Lorys,"During COVID-19, a young women discovers her non-binary identity and has to find a way to express it to her mother while trying to figure it out herself.",
Forget Me Not,United States,Rosie Pingxin,Zhou,"Feeling increasingly distant from her grandma in China, a girl seeks help from her new friend.",
The Judgment,United States,Sebastian,Gonzalez,A successful  business man is reluctant to invite his bachelor friend in Cuba to his engagement. He goes to consult his sickly Father about the invite only to get reprimanded by him. ,
Ding-ho Comedy,China,YUTONG,LIU,A Chinese Stand-up Comedian living in Boston starts his Chinese comedy club In Boston by holding open mic events and offering classes to polish his skill and build up a Chinese-speaking Stand-up comedy community in Boston.,
Discipline,India,Gulmohar,Production,"This is the story of the disciplinary culture that we are instilling in our young minds. This stifles free-spirited thinking. This plot, which deals with socio-cultural and educational issues, is about mob mentality. The struggle between the old and the new depicts class struggles and is symbolically depicted with the help of the Shephard community and their sheep.",
DADDY LESSONS ,Nigeria,Allison,Precious,,
FLAVORED,Not Specified,ting,zhou,"When an international student returns to China for Chinese New Year, he mistakes his mother's Chinese medicine for coffee, causing her to think that he had contracted the after-effects of covid.",
Stuffed,United Kingdom,Kerry,Howlett,"Stuffed is a short stop motion animated film that follows Blu, a teddy bear, in their curious journey inside an abandoned fairground.",
Chaotic Girls,Thailand,Naphatson,Konram,"The female trio are close friends and they like to go out at night and they work at the same place but they're late for work every day after that, they quarreled with colleagues and bosses so they resigned and bring the savings to invest in opening a pub.",
